id,text,label,category
1,Şehrin yeni kütüphanesi mimari açıdan çok şık olmuş.,0,Neutral
2,Bu bir ölüm kalım savaşı. Ya bizimlesiniz ya da onlarla!,1,Manipulative
3,Ekonominin bu halde olmasının tek suçlusu yabancılar. Onları temizlemeden huzur yok.,1,Manipulative
4,Ekonominin bu halde olmasının tek suçlusu yabancılar. Onları temizlemeden huzur yok.,1,Manipulative
5,Onlar kapalı kapılar ardında geleceğimizi satarken siz hala uyuyor musunuz?,1,Manipulative
6,Bugünkü maçın sonucu merakla bekleniyor. Favorim belli.,0,Neutral
7,Hafta sonu için kitap önerisi olan var mı?,0,Neutral
8,Medya bunu saklıyor ama gerçek şu: aşılar tamamen bir yalandan ibaret!,1,Manipulative
9,Şehrin yeni kütüphanesi mimari açıdan çok şık olmuş.,0,Neutral
10,"Bugün hava gerçekten çok güzel, tam yürüyüş yapmalık.",0,Neutral
11,Sadece vatanını sevmeyenler bu yeni yasaya olayına karşı çıkar. Safını seç!,1,Manipulative
12,Bu bir ölüm kalım savaşı. Ya bizimlesiniz ya da onlarla!,1,Manipulative
13,Bugünkü maçın sonucu merakla bekleniyor. Favorim belli.,0,Neutral
14,Eğer Malum kişiler güç kazanırsa neler yapacaklarını hayal edin. Her şeyimizi kaybedeceğiz.,1,Manipulative
15,Bu bir ölüm kalım savaşı. Ya bizimlesiniz ya da onlarla!,1,Manipulative
16,Sabah kahvesi olmadan güne başlayamayanlar burada mı?,0,Neutral
17,Onlar kapalı kapılar ardında geleceğimizi satarken siz hala uyuyor musunuz?,1,Manipulative
18,Hafta sonu için kitap önerisi olan var mı?,0,Neutral
19,Uyanın! Şirketler bizi yok etmek için gizli planlar yapıyor. Paylaşın herkes görsün!,1,Manipulative
20,Bu bir ölüm kalım savaşı. Ya bizimlesiniz ya da onlarla!,1,Manipulative
21,Eğer Şirketler güç kazanırsa neler yapacaklarını hayal edin. Her şeyimizi kaybedeceğiz.,1,Manipulative
22,Ekonominin bu halde olmasının tek suçlusu yabancılar. Onları temizlemeden huzur yok.,1,Manipulative
